Age,CAR_PETROL_SMALL,CAR_PETROL_MEDIUM,CAR_PETROL_LARGE,CAR_DIESEL_SMALL,CAR_DIESEL_MEDIUM,CAR_DIESEL_LARGE,MINIBUS_DIESEL,MINIBUS_PETROL,VAN_DIESEL,VAN_PETROL,MOTO_SMALL,MOTO_MEDIUM,MOTO_LARGE,COACH,TRUCK_SMALL,TRUCK_LARGE,Source
0,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.18,0.55,0.16,0.14,0.02,0.00,Kenya; GIZ INFRAS 2019
1,0.00,0.00,0.03,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.28,0.21,0.31,0.18,0.07,0.03,
2,0.00,0.00,0.04,0.00,0.01,0.01,0.00,0.00,0.05,0.01,0.11,0.08,0.12,0.15,0.16,0.11,
3,0.00,0.00,0.02,0.00,0.01,0.01,0.00,0.00,0.06,0.03,0.14,0.06,0.14,0.11,0.11,0.12,
4,0.00,0.01,0.01,0.00,0.02,0.02,0.00,0.00,0.07,0.01,0.04,0.03,0.05,0.07,0.08,0.07,
5,0.01,0.01,0.02,0.00,0.01,0.01,0.00,0.00,0.11,0.00,0.06,0.02,0.05,0.04,0.04,0.08,
6,0.02,0.01,0.06,0.00,0.03,0.03,0.00,0.00,0.08,0.00,0.10,0.05,0.09,0.05,0.02,0.10,
7,0.07,0.09,0.19,0.00,0.05,0.05,0.02,0.00,0.08,0.02,0.07,0.00,0.05,0.01,0.06,0.06,
8,0.08,0.12,0.10,0.04,0.03,0.03,0.02,0.01,0.08,0.05,0.02,0.00,0.02,0.04,0.05,0.02,
9,0.11,0.16,0.07,0.00,0.09,0.09,0.03,0.03,0.13,0.04,,,,0.04,0.08,0.12,
10,0.10,0.15,0.10,0.01,0.12,0.12,0.02,0.08,0.04,0.04,,,,0.04,0.06,0.07,
11,0.09,0.11,0.08,0.04,0.06,0.06,0.02,0.00,0.04,0.03,,,,0.05,0.05,0.05,
12,0.08,0.11,0.10,0.03,0.07,0.07,0.02,0.00,0.03,0.08,,,,0.01,0.02,0.04,
13,0.07,0.07,0.04,0.02,0.03,0.03,0.02,0.03,0.03,0.02,,,,0.00,0.02,0.01,
14,0.07,0.05,0.06,0.10,0.01,0.01,0.05,0.09,0.02,0.06,,,,0.00,0.02,0.03,
15,0.05,0.04,0.00,0.02,0.04,0.04,0.12,0.00,0.03,0.04,,,,0.01,0.03,0.01,
16,0.05,0.03,0.06,0.05,0.03,0.03,0.13,0.16,0.01,0.03,,,,0.01,0.02,0.02,
17,0.06,0.03,0.01,0.10,0.08,0.08,0.16,0.26,0.01,0.00,,,,0.00,0.01,0.00,
18,0.03,0.01,0.00,0.12,0.03,0.03,0.09,0.07,0.00,0.03,,,,0.00,0.01,0.00,
19,0.03,0.00,0.00,0.07,0.08,0.08,0.07,0.02,0.02,0.00,,,,0.01,0.01,0.00,
20,0.02,0.00,0.00,0.14,0.02,0.02,0.08,0.01,0.00,0.01,,,,0.00,0.01,0.00,
21,0.02,0.00,0.01,0.04,0.02,0.02,0.04,0.02,0.04,0.10,,,,0.00,0.01,0.01,
22,0.01,0.00,0.00,0.03,0.01,0.01,0.02,0.03,0.00,0.02,,,,0.00,0.00,0.00,
23,0.01,0.00,0.00,0.00,0.01,0.01,0.02,0.04,0.00,0.01,,,,0.00,0.01,0.00,
24,0.01,0.00,0.00,0.03,0.01,0.01,0.01,0.00,0.00,0.03,,,,0.00,0.00,0.00,
25,0.01,0.00,0.00,0.10,0.01,0.01,0.02,0.02,0.02,0.02,,,,0.00,0.01,0.01,
26,0.00,0.00,0.00,0.03,0.03,0.03,0.02,0.01,0.01,0.03,,,,0.00,0.00,0.00,
27,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.03,0.00,0.10,,,,0.00,0.01,0.00,
28,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.02,0.00,0.03,,,,0.00,0.01,0.00,
29,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.03,0.02,0.01,,,,0.00,0.00,0.00,
30,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.03,,,,,0.00,0.00,
31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.07,,,,,0.00,0.00,
32,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.01,,,,,0.00,0.00,
,,,,,,,,,,,,,,,,,
