age,BUS_2015,CAR_2015,MOTO_2015,MINIBUS_2015,VAN_2015,TRUCK_2015,BUS_2016,CAR_2016,MOTO_2016,MINIBUS_2016,VAN_2016,TRUCK_2016,BUS_2017,CAR_2017,MOTO_2017,MINIBUS_2017,VAN_2017,TRUCK_2017,BUS_2018,CAR_2018,MOTO_2018,MINIBUS_2018,VAN_2018,TRUCK_2018,BUS_2019,CAR_2019,MOTO_2019,MINIBUS_2019,VAN_2019,TRUCK_2019,BUS_2020,CAR_2020,MOTO_2020,MINIBUS_2020,VAN_2020,TRUCK_2020,BUS_2021,CAR_2021,MOTO_2021,MINIBUS_2021,VAN_2021,TRUCK_2021,BUS_2022,CAR_2022,MOTO_2022,MINIBUS_2022,VAN_2022,TRUCK_2022,BUS_2023,CAR_2023,MOTO_2023,MINIBUS_2023,VAN_2023,TRUCK_2023
0,0.061823802,0.021007216,0.170959313,0.033970276,0.177621145,0.151732179,0.107003891,0.045939793,0.192144782,0.128815313,0.223399355,0.169242861,0.051034483,0.028163489,0.222689076,0.074638233,0.311177602,0.192792793,0.06206089,0.029544691,0.182709447,0.097192225,0.400249896,0.243791493,0.062275449,0.029688693,0.212305355,0.113913409,0.265763111,0.165871984,0.03125,0.026800403,0.130301705,0.073459716,0.257043613,0.22503592,0.029007634,0.019122529,0.237868413,0.045148895,0.282288356,0.270012443,0.048241206,0.014713558,0.280498866,0.054948586,0.254833912,0.302195049,0,0.001655918,0.006193694,0.003952569,0.062200957,0.025790349
1,0.160741886,0.018567503,0.547219112,0.024416136,0.238061674,0.108927382,0.093385214,0.041133316,0.468232576,0.056906363,0.236757255,0.098506681,0.139310345,0.020553856,0.469012605,0.027037319,0.156657405,0.09981982,0.162763466,0.019646659,0.581105169,0.03887689,0.139941691,0.109171379,0.116167665,0.028798032,0.518420053,0.04581757,0.253977608,0.172229447,0.08125,0.02488988,0.601224311,0.069905213,0.227325357,0.14996408,0.071755725,0.017931881,0.445072938,0.051392891,0.160069344,0.146965298,0.072361809,0.013769106,0.502267574,0.03470437,0.113534953,0.143931041,0.050209205,0.023618616,0.574887387,0.075098814,0.307177033,0.524403771
2,0.040185471,0.004417165,0.114968272,0.004511677,0.025726872,0.037475017,0.149805447,0.010979003,0.1709665,0.004655975,0.030631046,0.047943411,0.034482759,0.008747156,0.165441176,0.006854532,0.032058132,0.02018018,0.023419204,0.010271542,0.102941176,0.004679626,0.022490629,0.012294074,0.028742515,0.009033845,0.19331561,0.006725515,0.021213907,0.020517266,0.039583333,0.016823223,0.146480105,0.012440758,0.026630645,0.029992816,0.030534351,0.012736326,0.188448943,0.014409222,0.024559376,0.013963777,0.009045226,0.013172611,0.073015873,0.004498715,0.033465543,0.009822592,0.112970711,0.010284121,0.197072072,0.005270092,0.064114833,0.007487521
3,0.015455951,0.002901975,0.096304591,0.002653928,0.012334802,0.019653564,0.013618677,0.007993929,0.088563727,0.002586653,0.024643022,0.033534189,0.024827586,0.009021731,0.06512605,0.003808073,0.016242787,0.023783784,0.011709602,0.010122138,0.073083779,0.005399568,0.015618492,0.027169904,0.004790419,0.012002714,0.020508925,0.007566204,0.010312316,0.006501951,0.01875,0.013851298,0.05728028,0.004146919,0.014280201,0.010596264,0.009160305,0.013890893,0.049717178,0.004803074,0.021670038,0.015346329,0.009045226,0.012799801,0.053968254,0.008033419,0.028011899,0.007116368,0.008368201,0.014467492,0.058558559,0.003952569,0.033492823,0.004159734
4,0.00618238,0.003364236,0.013064576,0.001592357,0.011806167,0.016822119,0.007782101,0.008904629,0.041201386,0.007242628,0.021188392,0.020958868,0.004137931,0.00702126,0.037289916,0.003427266,0.018593717,0.034774775,0.005854801,0.008329287,0.020499109,0.002519798,0.007705123,0.037005164,0.003592814,0.009161082,0.015571591,0.00714586,0.009723041,0.018927901,0.004166667,0.008278936,0.009182335,0.004146919,0.010420687,0.017600575,0.009160305,0.012159042,0.025602858,0.00192123,0.016469229,0.010230886,0.004020101,0.010239841,0.041950113,0.003856041,0.023549826,0.0095219,0.012552301,0.010458428,0.053490991,0.005270092,0.020095694,0.00249584
5,0.00309119,0.003775135,0.01866368,0.001326964,0.01339207,0.01449034,0.007782101,0.005615988,0.011166731,0.002586653,0.012206357,0.03222426,0.004137931,0.008041108,0.011029412,0.004569688,0.016456508,0.043603604,0.005854801,0.010682404,0.01916221,0.004679626,0.005206164,0.043398082,0.00239521,0.010136568,0.013292822,0.002101723,0.007660577,0.01502673,0,0.011834634,0.015741146,0.006516588,0.007719027,0.015445402,0.00610687,0.01190648,0.012503721,0.002881844,0.018780699,0.01907922,0.014070352,0.010960606,0.021995465,0.003213368,0.019335647,0.010023053,0,0.008453896,0.069256757,0.002635046,0.020095694,0.012479201
6,0.001545595,0.003852179,0.001119821,0.002123142,0.008634361,0.014323784,0.007782101,0.00688085,0.01232191,0.003621314,0.016121603,0.015981137,0.004137931,0.006472111,0.011029412,0.002284844,0.013891857,0.041441441,0.010538642,0.012811414,0.004901961,0.004319654,0.012286547,0.037005164,0.014371257,0.015183646,0.010254463,0.005884826,0.015321155,0.047825459,0.041666667,0.014700419,0.007433319,0.006516588,0.013894249,0.018318966,0.01221374,0.012664165,0.011908306,0.005763689,0.018202832,0.024885939,0.015075377,0.012277868,0.004081633,0.008676093,0.017104611,0.02084795,0.016736402,0.013160188,0.028153153,0.005270092,0.020095694,0.013865779
7,0.00309119,0.007396184,0.002239642,0.00477707,0.014096916,0.021985343,0,0.006577283,0.001925298,0.002069322,0.017042837,0.010479434,0.011034483,0.007374284,0.00105042,0.002665651,0.010686044,0.020720721,0.008196721,0.008516042,0.001336898,0.00287977,0.00603915,0.032210475,0.007185629,0.013868861,0.002658564,0.007986549,0.007955215,0.031787314,0.0125,0.013214456,0.007433319,0.006516588,0.011578541,0.053699713,0.027480916,0.011401357,0.004167907,0.002401537,0.013868824,0.020876538,0.010050251,0.008599478,0.003854875,0.003856041,0.017600397,0.016237346,0.008368201,0.009151124,0.002815315,0.006587615,0.01722488,0.01636162
8,0.004636785,0.014073294,0.001866368,0.007430998,0.020792952,0.031312458,0.005836576,0.012699216,0,0.006725297,0.01658222,0.026722557,0.00137931,0.009610104,0.00157563,0.00571211,0.012609532,0.012972973,0.003512881,0.015538042,0.001336898,0.007199424,0.006455643,0.028522252,0.004790419,0.014250573,0,0.002942413,0.009723041,0.039734142,0.00625,0.015974102,0.003060778,0.004739336,0.010420687,0.035201149,0.010687023,0.014071295,0.003572492,0.003842459,0.014157758,0.0410618,0.006030151,0.010861191,0.003628118,0.007069409,0.01363411,0.019544953,0.012552301,0.009586892,0.001689189,0.005270092,0.014354067,0.02384914
9,0.004636785,0.041269678,0.001493094,0.017250531,0.022202643,0.034477015,0.005836576,0.046243359,0.001540239,0.022245215,0.025794565,0.036940005,0.015172414,0.0464423,0.00105042,0.018659558,0.014319299,0.033873874,0.00234192,0.036006424,0.000891266,0.013318934,0.00728863,0.01979346,0.005988024,0.043812028,0.002278769,0.018495166,0.011785504,0.037855801,0.00625,0.03009075,0.001311762,0.008293839,0.010034736,0.050826149,0.003053435,0.028611632,0.002679369,0.011527378,0.017047096,0.03497857,0.003015075,0.018764757,0.002267574,0.007390746,0.016113039,0.040793826,0.008368201,0.011852885,0.001126126,0.010540184,0.010526316,0.017748197
