Age,CAR,LCV,BUS,HGV,MOTO,Source
0,0.00,0.00,0.00,0.00,0.00,"GIZ INFRAS, KENYA"
1,0.01,0.02,0.11,0.05,0.04,
2,0.03,0.06,0.22,0.11,0.09,
3,0.05,0.10,0.31,0.19,0.15,
4,0.08,0.16,0.40,0.26,0.21,
5,0.12,0.21,0.48,0.33,0.27,
6,0.15,0.27,0.55,0.40,0.33,
7,0.19,0.33,0.61,0.46,0.39,
8,0.24,0.38,0.66,0.52,0.44,
9,0.28,0.44,0.71,0.58,0.49,
10,0.33,0.49,0.75,0.63,0.54,
11,0.37,0.54,0.78,0.67,0.58,
12,0.42,0.59,0.81,0.71,0.62,
13,0.46,0.63,0.84,0.75,0.66,
14,0.51,0.67,0.86,0.78,0.69,
15,0.55,0.71,0.88,0.81,0.72,
16,0.59,0.74,0.90,0.84,0.75,
17,0.62,0.78,0.91,0.86,0.78,
18,0.66,0.80,0.93,0.88,0.80,
19,0.69,0.83,0.94,0.90,0.82,
20,0.73,0.85,0.95,0.91,0.84,
21,0.75,0.87,0.95,0.92,0.86,
22,0.78,0.89,0.96,0.94,0.88,
23,0.81,0.90,0.97,0.95,0.89,
24,0.83,0.92,0.97,0.95,0.90,
25,0.85,0.93,0.98,0.96,0.91,
26,0.87,0.94,0.98,0.97,0.92,
27,0.88,0.95,0.98,0.97,0.93,
28,0.90,0.96,0.99,0.98,0.94,
29,0.91,0.96,0.99,0.98,0.95,
30,0.92,0.97,0.99,0.98,0.95,
31,0.93,0.97,0.99,0.99,0.96,
32,0.94,0.98,0.99,0.99,0.97,
33,0.95,0.98,0.99,0.99,0.97,
34,0.96,0.99,0.99,0.99,0.97,
35,0.96,0.99,1.00,0.99,0.98,
36,0.97,0.99,1.00,0.99,0.98,
37,0.97,0.99,1.00,1.00,0.98,
38,0.98,0.99,1.00,1.00,0.98,
39,0.98,0.99,1.00,1.00,0.99,
40,0.98,1.00,1.00,1.00,0.99,
41,0.99,1.00,1.00,1.00,0.99,
42,0.99,1.00,1.00,1.00,0.99,
43,0.99,1.00,1.00,1.00,0.99,
44,0.99,1.00,1.00,1.00,0.99,
45,0.99,1.00,1.00,1.00,0.99,
46,1.00,1.00,1.00,1.00,1.00,
47,1.00,1.00,1.00,1.00,1.00,
48,1.00,1.00,1.00,1.00,1.00,
49,1.00,1.00,1.00,1.00,1.00,
50,1.00,1.00,1.00,1.00,1.00,
