Year,CSmall,CMedium,CLarge,MAverage,BMini,BUrban,BCoach,TPanel,TMedium,THeavy,RLight,RRegional,RNational,RHighSpeed,SRiver,SCoastal,SMaritime,PGeneral,PShort,PMedium,PLong,PSupersonic
2012,0.289,0.589,0.122,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2013,0.279,0.595,0.127,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2014,0.268,0.601,0.131,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2015,0.259,0.606,0.135,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2016,0.249,0.611,0.14,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2017,0.24,0.616,0.144,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2018,0.231,0.62,0.149,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2019,0.222,0.624,0.153,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2020,0.214,0.628,0.158,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
2021,0.206,0.631,0.163,1.0,0.3,0.55,0.15,0.65,0.2,0.15,0.3,0.4,0.25,0.05,0.6,0.35,0.05,0.05,0.6,0.25,0.1,0.0
