TechID,ModeID,VehTypeID,MassCatID,FuelID,EngineID,TransTypeID,Availability,Final_Year,HybridFlag,spec_energ_consump,spec_energ_electric,noise_class,PurchasePrice,ExpectedLifeFactor,Capacity,AveEconLife,SecondHandImportFlag,note
10,1,2,4,1,10,1,1980,2000,0,6.57,,0,5000,1,2,10,0,
20,1,2,4,12,10,1,1995,2010,0,9.51,,2,7000,1,2,10,0,
25,1,2,4,12,11,1,2010,2020,0,8.38,,2,6000,1,2,10,0,
26,1,2,4,12,12,1,2020,,0,7.18,,2,5500,1,2,10,0,
30,1,2,4,1,11,1,2000,2010,0,5.65,,0,5000,1,2,10,0,
40,1,2,4,1,12,1,2010,,0,4.56,,0,5000,1,2,10,0,
50,1,2,4,13,13,1,2015,2030,0,23.99,,2,7000,1,2,10,0,
60,1,2,4,13,13,1,2030,,0,19.23,,2,6000,1,2,10,0,
70,1,3,1,1,1,1,1980,1991,0,8.36,,0,10000,1,5,12,0,
80,1,3,1,1,14,1,2009,2014,0,7.31,,1,10000,1,5,12,0,
81,1,3,1,1,15,1,2015,2019,0,6.71,,1,10000,1,5,12,0,
82,1,3,1,1,16,1,2020,2024,0,6.23,,1,10000,1,5,12,0,
83,1,3,1,1,17,1,2025,2029,0,5.77,,1,10000,1,5,12,0,
84,1,3,1,1,18,1,2030,2034,0,5.35,,1,10000,1,5,12,0,
85,1,3,1,1,19,1,2035,2039,0,4.96,,1,10000,1,5,12,0,
86,1,3,1,1,20,1,2040,2044,0,4.60,,1,10000,1,5,12,0,
87,1,3,1,1,21,1,2045,,0,4.27,,1,10000,1,5,12,0,
90,1,3,1,1,3,1,1992,1995,0,7.65,,0,10000,1,5,12,0,
91,1,3,1,1,14,1,2009,2014,2,3.48,11.10,1,20000,1,5,12,0,
92,1,3,1,1,15,1,2015,2019,2,3.24,10.14,1,17500,1,5,12,0,
93,1,3,1,1,16,1,2020,2024,2,3.00,9.40,1,15000,1,5,12,0,
94,1,3,1,1,17,1,2025,2029,2,2.79,8.72,1,12500,1,5,12,0,
95,1,3,1,1,18,1,2030,2034,2,2.58,8.08,1,12000,1,5,12,0,
96,1,3,1,1,19,1,2035,2039,2,2.40,7.49,1,12000,1,5,12,0,
97,1,3,1,1,20,1,2040,2044,2,2.22,6.95,1,12000,1,5,12,0,
98,1,3,1,1,21,1,2045,,2,2.09,6.44,1,12000,1,5,12,0,
100,1,3,1,1,4,1,1996,1999,0,8.12,,1,10000,1,5,12,0,
110,1,3,1,1,5,1,2000,2004,0,8.15,,1,10000,1,5,12,0,
120,1,3,1,1,6,1,2005,2008,0,7.75,,1,10000,1,5,12,0,
130,1,3,2,1,1,1,1980,1991,0,9.42,,0,15000,1,5,12,0,
140,1,3,2,1,14,1,2009,2014,0,8.35,,1,15000,1,5,12,0,
150,1,3,2,1,3,1,1992,1995,0,8.87,,0,15000,1,5,12,0,
160,1,3,2,1,4,1,1996,1999,0,9.45,,0,15000,1,5,12,0,
161,1,3,2,1,14,1,2009,2014,2,4.01,22.43,1,25000,1,5,12,0,
162,1,3,2,1,15,1,2015,2019,2,3.74,20.49,1,22500,1,5,12,0,
163,1,3,2,1,16,1,2020,2024,2,3.47,19.00,1,20000,1,5,12,0,
164,1,3,2,1,17,1,2025,2029,2,3.22,17.62,1,18000,1,5,12,0,
165,1,3,2,1,18,1,2030,2034,2,2.98,16.33,1,18000,1,5,12,0,
166,1,3,2,1,19,1,2035,2039,2,2.77,15.14,1,18000,1,5,12,0,
167,1,3,2,1,20,1,2040,2044,2,2.57,14.04,1,18000,1,5,12,0,
168,1,3,2,1,21,1,2045,,2,2.41,13.02,1,18000,1,5,12,0,
170,1,3,2,1,5,1,2000,2004,0,9.49,,1,15000,1,5,12,0,
171,1,3,2,1,15,1,2015,2019,0,7.67,,1,15000,1,5,12,0,
172,1,3,2,1,16,1,2020,2024,0,7.12,,1,15000,1,5,12,0,
173,1,3,2,1,17,1,2025,2029,0,6.60,,1,15000,1,5,12,0,
174,1,3,2,1,18,1,2030,2034,0,6.12,,1,15000,1,5,12,0,
175,1,3,2,1,19,1,2035,2039,0,5.67,,1,15000,1,5,12,0,
176,1,3,2,1,20,1,2040,2044,0,5.26,,1,15000,1,5,12,0,
177,1,3,2,1,21,1,2045,,0,4.88,,1,15000,1,5,12,0,
181,1,3,2,1,6,1,2005,2008,0,8.86,,1,15000,1,5,12,0,
190,1,3,3,1,1,1,1980,1991,0,10.50,,0,22000,1,5,12,0,
191,1,3,3,1,14,1,2009,2014,2,4.99,30.00,1,32500,1,5,12,0,
192,1,3,3,1,15,1,2015,2019,2,4.66,28.00,1,30000,1,5,12,0,
193,1,3,3,1,16,1,2020,2024,2,4.32,26.00,1,27500,1,5,12,0,
194,1,3,3,1,17,1,2025,2029,2,4.01,24.00,1,25000,1,5,12,0,
195,1,3,3,1,18,1,2030,2034,2,3.71,22.00,1,24000,1,5,12,0,
196,1,3,3,1,19,1,2035,2039,2,3.44,20.00,1,24000,1,5,12,0,
197,1,3,3,1,20,1,2040,2044,2,3.19,18.00,1,24000,1,5,12,0,
198,1,3,3,1,21,1,2045,,2,3.00,16.00,1,24000,1,5,12,0,
200,1,3,3,1,14,1,2009,2014,0,10.31,,1,22000,1,5,12,0,
201,1,3,3,1,16,1,2020,2024,0,8.78,,1,22000,1,5,12,0,
202,1,3,3,1,17,1,2025,2029,0,8.14,,1,22000,1,5,12,0,
203,1,3,3,1,18,1,2030,2034,0,7.55,,1,22000,1,5,12,0,
204,1,3,3,1,19,1,2035,2039,0,7.00,,1,22000,1,5,12,0,
205,1,3,3,1,20,1,2040,2044,0,6.49,,1,22000,1,5,12,0,
206,1,3,3,1,21,1,2045,,0,6.02,,1,22000,1,5,12,0,
210,1,3,3,1,3,1,1992,1995,0,10.98,,0,22000,1,5,12,0,
220,1,3,3,1,4,1,1996,1999,0,11.67,,0,22000,1,5,12,0,
230,1,3,3,1,5,1,2000,2004,0,11.71,,1,22000,1,5,12,0,
